Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
7511-1,Clikits,,2003,Trendy Tote Tangerine,,94,12.99,15,,,,,,,,,9.88,,,
76943-1,Jurassic World,Dominion,2022,Pteranodon Chase,2,94,17.99,19.99,24.99,19.99,5.70202E+12,,26.2,14.1,6.1,,14.79,,17/04/2022,31/12/2023
70753-1,Ninjago,Tournament of Elements,2015,Lava Falls,2,94,7.99,7.99,9.99,9.99,5.70202E+12,6.73419E+11,15.6972,14.097,4.4958,0.14528,15,8.1,1/1/2015,31/12/2015
10736-1,Juniors,Disney Princess,2017,Anna and Elsa's Frozen Playground,2,94,19.99,24.99,29.99,24.99,,6.73419E+11,26.2128,19.1008,6.096,0.3311222,43.24,24.99,1/1/2017,31/12/2018
7411-1,Adventurers,Orient Expedition,2003,Tygurah's Roar,1,94,7.99,10,,,5.70201E+12,6.73419E+11,19.2,14.4,6,,49.57,19.73,1/1/2003,31/12/2004
8381-1,Racers,Drome Racers,2004,Exo Raider,,94,6.99,10,,,,,,,,,19.58,4.99,,
8958-1,Power Miners,,2009,Granite Grinder,2,94,8.79,9.99,,,,6.73419E+11,26.2,14.1,6.1,0.18,43.28,11.97,1/1/2009,31/12/2009
194-1,Building Set with People,,1976,Family,,94,,,,,,,,,,,,12.75,,
6674-1,Town,Vehicles,1988,Crane Truck,1,94,,,,,,,,,,,169.89,14.89,,
6403-1,Town,Paradisa,1993,Paradise Playground,3,94,,13.25,,,,,,,,,179.22,24.45,,
3310-1,Town,Football,1998,Press Box,2,93,,,,,5.70201E+12,,24,14.4,6,,49.95,14.45,1/3/1998,31/12/1998
379-2,LEGOLAND,,1972,Car and Caravan,,93,,,,,,,,,,,,38.93,,
41592-1,BrickHeadz,Marvel Super Heroes,2017,The Hulk,,93,9.99,9.99,12.99,9.99,,6.73419E+11,9.0932,12.192,7.7978,0.113398,27.14,14.82,1/3/2017,31/12/2017
6595-1,Town,Leisure,1993,Surf Shack,3,93,,,,,5.70201E+12,,,,,,58.5,20.46,,
170-1,Trains,4.5/12V,1972,Push-along Play Train,,93,1.95,,,,,,,,,,,53.46,,
41677-1,Friends,Forest,2021,Forest Waterfall,2,93,8.99,9.99,13.99,9.99,5.70202E+12,6.73419E+11,14.1,12.2,6.1,,8.88,,1/6/2021,31/12/2023
7113-1,Star Wars,Episode II,2002,Tusken Raider Encounter,3,93,8.99,10,,,5.70201E+12,6.73419E+11,19.2,14.4,4.8,,75.87,33.5,23/04/2002,31/12/2003
7128-1,Star Wars,Episode VI,1999,Speeder Bikes,3,93,,10,,,5.70201E+12,42884071288,14.4,14.4,4.8,,78.09,26.79,1/3/1999,31/12/2000
CINCINNATI-1,Promotional,LEGO brand store opening set,2009,{Flying Pig},,93,,0,,,,,,,,,,,,
