Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
31203-1,Art,Miscellaneous,2021,World Map,,11695,214.99,249.99,349.99,249.99,5.70202E+12,6.73419E+11,55.2,38.4,15.2,,224.74,193.13,1/6/2021,31/12/2023
10307-1,Icons,Landmarks,2022,Eiffel Tower,,10001,554.99,629.99,799.99,629.99,,,58.5,47.5,38.5,,631.1,585.92,25/11/2022,31/12/2025
10294-1,Icons,Miscellaneous,2021,Titanic,,9090,589.99,679.99,849.99,679.99,5.70202E+12,,58.5,47.5,38.5,,690.74,622.15,8/11/2021,31/12/2024
10276-1,Icons,Buildings,2020,Colosseum,,9036,474.99,549.99,649.99,549.99,5.70202E+12,,53.5,48.4,28.4,,525.05,412.65,27/11/2020,31/12/2023
75192-1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8,7541,734.99,849.99,1049.99,849.99,5.70202E+12,,53.3,46,38.5,,699,568.41,1/10/2017,31/12/2023
75313-1,Star Wars,Ultimate Collector Series,2021,AT-AT,9,6785,734.99,849.99,1049.99,849.99,5.70202E+12,,49.9,49.9,37.9,,738.57,557.33,26/11/2021,31/12/2023
75331-1,Star Wars,Ultimate Collector Series,2022,The Razor Crest,4,6187,519.99,599.99,759.99,599.99,,,52.3,48,23.8,,556.54,,3/10/2022,31/12/2024
71043-1,Harry Potter,General,2018,Hogwarts Castle,28,6020,409.99,469.99,589.99,469.99,5.70202E+12,,58.5,49,19,,367.13,321.48,1/9/2018,31/12/2024
10256-1,Creator Expert,Buildings,2017,Taj Mahal,,5923,299.99,369.99,449.99,321.67,5.70202E+12,,58.5,49,19,,373.83,252.07,1/12/2017,31/12/2020
10189-1,Advanced models,Buildings,2008,Taj Mahal,,5922,199.99,299.99,399.99,,5.70201E+12,,65.2,48,12.7,,1130.57,249.69,1/10/2008,31/12/2010
10299-1,Icons,Stadiums,2022,Real Madrid - Santiago Bernabéu Stadium,,5876,344.99,399.99,499.99,399.99,5.70202E+12,,52.3,48,21.8,,312.77,,1/3/2022,31/12/2023
71741-1,Ninjago,General,2021,NINJAGO City Gardens,22,5685,299.99,349.99,449.99,349.99,5.70202E+12,,48,58.2,17,,264.06,226.55,1/2/2021,31/12/2024
75978-1,Harry Potter,General,2020,Diagon Alley,17,5544,389.99,449.99,559.99,449.99,5.70202E+12,,58.2,48,17,,420.88,350.66,1/9/2020,31/12/2024
10284-1,Icons,Stadiums,2021,Camp Nou - FC Barcelona,,5509,289.99,349.99,449.99,329.99,5.70202E+12,,58.2,48,17,,254.04,189.78,1/9/2021,31/12/2022
10179-1,Star Wars,Ultimate Collector Series,2007,Ultimate Collector's Millennium Falcon,5,5197,342.49,499.99,,,5.70201E+12,6.73419E+11,65.2,48,19.2,,2165.01,1029.16,1/10/2007,31/12/2009
76405-1,Harry Potter,General,2022,Hogwarts Express - Collectors' Edition,20,5129,429.99,499.99,619.99,499.99,,,52.3,48,21.8,,495.31,,31/08/2022,31/12/2025
2000409-1,Serious Play,,2010,Window Exploration Bag,,4900,314.99,484.99,484.99,359.99,5.70201E+12,,,,,,395.52,,,
70620-1,The LEGO Ninjago Movie,,2017,NINJAGO City,19,4867,259.99,299.99,349.99,299.99,5.70202E+12,,49,58.5,19,,666.49,511.6,1/9/2017,31/12/2019
75252-1,Star Wars,Ultimate Collector Series,2019,Imperial Star Destroyer,2,4784,614.99,699.99,849.99,699.99,5.70202E+12,6.73419E+11,53.3,46,38.5,12.42,715.71,621.13,1/10/2019,31/12/2022
75827-1,Ghostbusters,,2016,Firehouse Headquarters ,10,4634,284.99,349.99,399.99,349.99,5.70202E+12,6.73419E+11,58.5,49,19,,653.39,539.5,1/1/2016,31/12/2018
10305-1,Icons,Castle System,2022,Lion Knights' Castle,22,4514,344.99,399.99,499.99,399.99,5.70202E+12,,52.3,48,21.8,,396.11,349.43,3/8/2022,31/12/2025
40179-1,Miscellaneous,,2016,Personalised Mosaic Portrait,,4502,99.99,129.99,169.99,99.99,,6.73419E+11,,,,,98.45,,,
10214-1,Advanced models,Buildings,2010,Tower Bridge,,4287,219.99,239.99,299.99,219.99,5.70202E+12,6.73419E+11,58.2,48,12.7,4.35,269.34,183.51,1/10/2010,31/12/2012
31201-1,Art,Licensed,2021,Harry Potter Hogwarts Crests,,4249,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,87.35,75,1/1/2021,31/12/2022
31205-1,Art,Licensed,2022,Jim Lee Batman Collection,,4167,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,102.58,80,1/3/2022,31/12/2023
10253-1,Creator Expert,Buildings,2016,Big Ben,,4163,179.99,249.99,299.99,219.99,5.70202E+12,,58.2,48,9.1,,374.5,244.89,1/7/2016,31/12/2018
21226-1,Art,Miscellaneous,2021,Art Project - Create Together,,4138,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,105.22,67.5,1/11/2021,31/12/2022
10261-1,Creator Expert,Fairground Collection,2018,Roller Coaster,11,4124,299.99,379.99,479.99,329.99,5.70202E+12,,58.1,48.6,18.6,5.8,365.5,331.48,1/6/2018,31/12/2021
42100-1,Technic,Licensed,2019,Liebherr R 9800,,4108,399.99,449.99,549.99,449.99,5.70202E+12,,58.2,48,17,,480.53,393.08,1/10/2019,31/12/2021
71040-1,Disney,Disney Parks,2016,Disney Castle,7,4080,309.99,349.99,399.99,349.99,5.70202E+12,,48,58.2,17,,394.62,314.34,1/9/2016,31/12/2022
910002-1,Bricklink,2021 Designer Program,2023,Studgate Train Station,,4062,299.99,399.99,,339.99,,,,,,,,,,
42082-1,Technic,,2018,Rough Terrain Crane,,4057,229.99,299.99,349.99,229.99,5.70202E+12,6.73419E+11,58.2,48,17,6.1,244.7,187.87,1/8/2018,31/12/2020
76210-1,Marvel Super Heroes,Avengers: Age of Ultron,2022,Hulkbuster,1,4049,474.99,549.99,699.99,549.99,,,48.3,37.8,25.7,,530.98,,4/11/2022,31/12/2023
75159-1,Star Wars,Ultimate Collector Series,2016,Death Star,27,4016,409.99,499.99,599.99,487.39,5.70202E+12,,58.5,49,19,,880.36,591.93,1/10/2016,31/12/2020
10255-1,Creator Expert,Modular Buildings Collection,2017,Assembly Square,9,4002,259.99,299.99,339.99,299.99,5.70202E+12,,58.2,48,17,,227.68,205.8,1/1/2017,31/12/2023
21330-1,Ideas,Licensed,2021,Home Alone,5,3955,259.99,299.99,379.99,299.99,5.70202E+12,,58.2,48,17,,260.73,202.68,1/11/2021,31/12/2024
42055-1,Technic,,2016,Bucket Wheel Excavator,,3929,189.99,279.99,329.99,229.99,5.70202E+12,6.73419E+11,58.2,48,17,,406.48,278.38,1/8/2016,31/12/2018
10272-1,Creator Expert,Stadiums,2020,Old Trafford - Manchester United,,3898,244.99,299.99,349.99,279.99,5.70202E+12,,58.2,48,17,,273.61,203.47,1/2/2020,31/12/2022
910027-1,Bricklink,2021 Designer Program,2023,Mountain View Observatory,,3889,179.99,249.99,,209.99,,,,,,,,,,
42131-1,Technic,Licensed,2021,Cat D11 Bulldozer,,3854,429.99,499.99,619.99,499.99,5.70202E+12,,58.2,48,17,,349.52,312.15,1/10/2021,31/12/2021
10188-1,Star Wars,Ultimate Collector Series,2008,Death Star,24,3803,274.99,399.99,499.99,419.99,,6.73419E+11,58.801,50.1904,17.6022,8.31,617.55,479.27,1/9/2008,31/12/2010
42143-1,Technic,Licensed,2022,Ferrari Daytona SP3,,3778,389.99,449.99,559.99,449.99,5.70202E+12,,62,29,23,,339.41,303.42,1/6/2022,31/12/2025
76178-1,Marvel Super Heroes,Spider-Man,2021,Daily Bugle,25,3772,299.99,349.99,449.99,349.99,5.70202E+12,6.73419E+11,48,58.2,17,,308.01,258.99,1/6/2021,31/12/2023
10303-1,Icons,Fairground Collection,2022,Loop Coaster,11,3756,344.99,399.99,499.99,399.99,5.70202E+12,,52.2,48.2,25.7,5.83,390.47,320,1/7/2022,31/12/2025
42115-1,Technic,Licensed,2020,Lamborghini Sián FKP 37,,3696,389.99,449.99,559.99,449.99,5.70202E+12,6.73419E+11,57,37.5,15,7.18,304.4,251.89,1/6/2020,31/12/2024
21323-1,Ideas,,2020,Grand Piano,,3662,344.99,399.99,499.99,399.99,5.70202E+12,6.73419E+11,58.2,37.8,16,6.09,349.26,293.35,1/8/2020,31/12/2024
42083-1,Technic,,2018,Bugatti Chiron,,3599,319.99,349.99,399.99,369.99,5.70202E+12,6.73419E+11,57,37.5,15,5.92,333.74,265.04,1/6/2018,31/12/2022
70657-1,The LEGO Ninjago Movie,,2018,NINJAGO City Docks,14,3553,199.99,229.99,269.99,229.99,5.70202E+12,6.73419E+11,58.2,48,12.4,4.61,533.92,426.98,1/6/2018,31/12/2019
910023-1,Bricklink,2021 Designer Program,2022,Venetian Houses,13,3470,219.99,289.99,,244.99,,,,,,,477.4,315.42,,
31204-1,Art,Music,2022,Elvis Presley  'The King',,3445,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,105.44,,1/3/2022,31/12/2022
70922-1,The LEGO Batman Movie,,2017,The Joker Manor,10,3444,249.99,269.99,349.99,269.99,5.70202E+12,6.73419E+11,58.5,49,19,7,532.03,421.74,1/12/2017,31/12/2018
10143-1,Star Wars,Ultimate Collector Series,2005,Death Star II,,3441,249.99,269.99,,,,6.73419E+11,59.3,51,21.2,,2669.08,901.58,1/9/2005,31/12/2007
10181-1,Advanced models,Buildings,2007,Eiffel Tower ,,3428,146.79,199.99,,,5.70201E+12,,48,65.2,9.6,,1257.96,569.03,1/8/2007,31/12/2009
31200-1,Art,Licensed,2020,Star Wars The Sith,,3406,114.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,41.5,40.2,5.3,1.69,118.73,91.39,1/8/2020,31/12/2021
910008-1,Bricklink,2021 Designer Program,2023,Modular Construction Site,,3371,245.99,319.99,,269.99,,,,,,,,,,
31197-1,Art,Miscellaneous,2020,Andy Warhol's Marilyn Monroe,,3341,114.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,41.5,40.2,5.3,1.44,88.98,,1/8/2020,31/12/2021
76139-1,DC Comics Super Heroes,Batman 1989,2019,1989 Batmobile,3,3306,219.99,249.99,299.99,249.99,5.70202E+12,,58.2,37.8,16.1,4.67,341.58,291.9,29/11/2019,31/12/2021
75059-1,Star Wars,Ultimate Collector Series,2014,Sandcrawler,14,3296,249.99,299.99,349.99,299.99,5.70202E+12,,58.1914,48.006,16.9926,4.48,451.13,391.87,1/5/2014,31/12/2016
75309-1,Star Wars,Ultimate Collector Series,2021,Republic Gunship,2,3292,344.99,399.99,499.99,399.99,5.70202E+12,6.73419E+11,58.2,48,17,,300.51,274.67,1/8/2021,31/12/2023
10196-1,Advanced models,Fairground Collection,2009,Grand Carousel,9,3263,179.99,249.99,349.99,,,6.73419E+11,58.2,48,9.1,,1884.08,936.82,1/7/2009,31/05/2010
7100-1,Samsonite,Educational,1963,Samsonite Large Educational Set,,3250,,100,,,,,83.82,12.7,54.29,,,,,
10273-1,Icons,Fairground Collection,2020,Haunted House,10,3231,259.99,299.99,379.99,299.99,5.70202E+12,,48,58.2,12.4,,216.1,189.24,1/6/2020,31/12/2023
75290-1,Star Wars,Master Builder Series,2020,Mos Eisley Cantina,21,3187,344.99,399.99,499.99,399.99,5.70202E+12,,58.2,48,12.4,,328.64,260.92,1/10/2020,31/12/2023
70840-1,The LEGO Movie 2,,2019,Welcome to Apocalypseburg!,13,3178,279.99,299.99,399.99,299.99,5.70202E+12,,48,58.2,17,,572.54,523.88,1/2/2019,31/12/2019
31199-1,Art,Licensed,2020,Marvel Studios Iron Man,,3167,114.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,41.5,40.2,5.3,1.7,115.47,94.57,1/8/2020,31/12/2021
10221-1,Star Wars,Ultimate Collector Series,2011,Super Star Destroyer ,5,3152,349.99,399.99,499.99,,,6.73419E+11,58.5,49,19,,1078.08,715.44,1/9/2011,31/12/2014
75936-1,Jurassic World,Jurassic Park,2019,Jurassic Park: T. rex Rampage,6,3120,219.99,249.99,299.99,249.99,5.70202E+12,6.73419E+11,58.2,48,12.4,4.65,324.24,299.69,1/7/2019,31/12/2021
10030-1,Star Wars,Ultimate Collector Series,2002,Imperial Star Destroyer,,3096,249.99,269.99,,,,6.73419E+11,59.3,51,21.2,,1620,784.51,6/12/2002,31/12/2007
10297-1,Icons,Modular Buildings Collection,2022,Boutique Hotel,7,3066,199.99,229.99,289.99,229.99,5.70202E+12,,58.2,48,12.4,3.471,191.72,168.85,1/1/2022,31/12/2025
21318-1,Ideas,,2019,Tree House,4,3036,214.99,249.99,309.99,249.99,5.70202E+12,,58,47.5,12,3.8,187.22,165.86,1/8/2019,31/12/2023
76391-1,Harry Potter,General,2021,Hogwarts Icons - Collectors' Edition,3,3010,259.99,299.99,379.99,299.99,5.70202E+12,,58.2,48,12.4,,236.54,200.5,2/9/2021,31/12/2024
76042-1,Marvel Super Heroes,The Avengers,2015,The SHIELD Helicarrier,17,2996,279.99,349.99,399.99,349.99,5.70202E+12,,58.4962,48.9966,18.9992,5.44,485.43,384.25,1/3/2015,31/12/2017
10234-1,Creator Expert,Buildings,2013,Sydney Opera House,,2989,249.99,319.99,379.99,279.99,5.70201E+12,,58.2,48,17,5.54,345.35,206.7,1/9/2013,31/12/2016
76215-1,Marvel Super Heroes,Black Panther,2022,Black Panther,,2961,299.99,349.99,449.99,349.99,,,37.8,48.3,25.7,,270.89,199.99,1/10/2022,31/12/2023
31198-1,Art,Music,2020,The Beatles,,2933,114.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,41.5,40.2,5.3,1.52,128.59,80.09,1/8/2020,31/12/2021
71044-1,Disney,Disney Parks,2019,Disney Train and Station,5,2925,299.99,329.99,379.99,329.99,5.70202E+12,6.73419E+11,57.8,47.6,12,4.125,441.03,345.54,1/9/2019,31/12/2021
10278-1,Icons,Modular Buildings Collection,2021,Police Station,5,2923,169.99,199.99,269.99,199.99,5.70202E+12,,57.7,47.6,11.8,4.012,165.28,144.45,1/1/2021,31/12/2024
10312-1,Icons,Modular Buildings Collection,2023,Jazz Club,8,2899,199.99,229.99,299.99,229.99,5.70202E+12,,57.8,47.6,12,3.884,237.92,,1/1/2023,31/12/2026
3450-1,Advanced models,Sculptures,2000,Statue of Liberty,,2882,,199,,,,,59.5,37,20,,200,860.29,15/11/2000,31/12/2002
31207-1,Art,Miscellaneous,2022,Floral Art,,2870,59.99,79.99,99.99,69.99,5.70202E+12,,27,38,7.4,,54.28,,1/8/2022,31/12/2023
21137-1,Minecraft,Minifig-scale,2017,The Mountain Cave,6,2863,259.99,249.99,299.99,249.99,,6.73419E+11,58.1914,48.006,16.9926,5.089302,1157.77,624.11,1/7/2017,31/12/2018
K34432-1,Basic,Mosaic,2003,Mosaic Dino,,2847,,,,,,,,,,,,,,
75222-1,Star Wars,Master Builder Series,2018,Betrayal at Cloud City,21,2812,299.99,349.99,399.99,341.17,5.70202E+12,,58.2,48,12.4,,652.64,505,1/10/2018,31/12/2019
71411-1,Super Mario,Miscellaneous,2022,The Mighty Bowser,,2807,229.99,269.99,349.99,269.99,5.70202E+12,,58.2,48,12.4,,209.75,190.88,1/10/2022,31/07/2024
42043-1,Technic,,2015,Mercedes-Benz Arocs 3245,,2793,179.99,229.99,269.99,199.99,5.70202E+12,,58.1914,48.006,12.3952,4.49,387.66,233.93,1/8/2015,31/12/2017
910013-1,Bricklink,2021 Designer Program,2022,Retro Bowling Alley,5,2779,169.99,229.99,,189.99,,,,,,,393.46,289.81,,
10224-1,Advanced models,Modular Buildings Collection,2012,Town Hall,8,2766,149.99,199.99,249.99,,5.70201E+12,6.73419E+11,48,58.2,12.7,,852.73,622.91,1/3/2012,31/12/2014
5526-1,Factory,,2005,Skyline,,2747,,130,,,,,,,,,730.97,372.52,,
70810-1,The LEGO Movie,,2014,MetalBeard's Sea Cow,5,2741,169.99,249.99,299.99,249.99,5.70202E+12,,58.1914,48.006,12.3952,3.85,394.18,282.37,1/3/2014,31/07/2015
76218-1,Marvel Super Heroes,Doctor Strange in the Multiverse of Madness,2022,Sanctum Sanctorum,9,2708,214.99,249.99,309.99,249.99,5.70202E+12,,48,58.2,12.4,,194.02,169.99,1/8/2022,31/12/2024
910004-1,Bricklink,2021 Designer Program,2023,Winter Chalet,,2705,149.99,199.99,,169.99,,,,,,,,,,
42056-1,Technic,,2016,Porsche 911 GT3 RS,,2704,259.99,299.99,349.99,299.99,5.70202E+12,6.73419E+11,48,37.8,15.3,,689.25,453.71,1/6/2016,31/12/2018
10257-1,Creator Expert,Fairground Collection,2017,Carousel,7,2670,159.99,199.99,249.99,179.99,5.70202E+12,,57.8,47.5,8.5,,373.24,298.28,1/6/2017,31/12/2019
31202-1,Art,Licensed,2021,Disney's Mickey Mouse,,2658,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,80.37,128.96,1/1/2021,31/12/2022
71374-1,Super Mario,Miscellaneous,2020,Nintendo Entertainment System,1,2646,229.99,269.99,349.99,269.99,5.70202E+12,,58.2,48,12.4,,202.79,154.35,1/8/2020,31/12/2023
2000430-1,Serious Play,,2013,Identity and Landscape Kit,6,2631,614.99,789.99,789.99,699.99,5.70202E+12,,,,,,724.44,,,
42009-1,Technic,,2013,Mobile Crane MK II,,2606,149.99,219.99,249.99,199.99,5.70201E+12,,58.1914,48.006,9.0932,4.21,365.01,223.9,1/8/2013,31/12/2015
42078-1,Technic,,2018,Mack Anthem,,2595,139.99,179.99,229.99,149.99,5.70202E+12,6.73419E+11,58.2,48,12.4,3.46,228.85,143.68,1/1/2018,31/12/2019
21332-1,Ideas,,2022,The Globe,,2585,199.99,229.99,289.99,229.99,5.70202E+12,,37.8,48,11.2,,179.35,148.95,1/2/2022,31/12/2024
42110-1,Technic,Licensed,2019,Land Rover Defender,,2573,174.99,199.99,249.99,199.99,5.70202E+12,,58.2,48,9.1,,154.82,121.07,1/10/2019,31/12/2022
10264-1,Creator Expert,Modular Buildings Collection,2019,Corner Garage,6,2569,159.99,199.99,269.99,179.99,5.70202E+12,,57.7,47.4,8.6,3.044,234.37,202.94,1/1/2019,31/12/2021
21322-1,Ideas,,2020,Pirates of Barracuda Bay,10,2545,179.99,199.99,259.99,199.99,5.70202E+12,6.73419E+11,57.8,47.8,10.8,4.432,283.04,246.79,1/4/2020,31/12/2021
10306-1,Icons,Licensed,2022,Atari 2600,1,2532,209.99,239.99,299.99,239.99,5.70202E+12,,58.2,48,12.4,,242.86,215,1/8/2022,31/12/2023
76052-1,DC Comics Super Heroes,Batman Classic TV Series,2016,Batman Classic TV Series - Batcave,9,2526,239.99,269.99,329.99,249.99,5.70202E+12,,58.2,48,12.4,,208.33,162.55,1/3/2016,31/12/2017
71006-1,The Simpsons,,2014,The Simpsons House,6,2523,189.99,199.99,229.99,199.99,5.70202E+12,,58.2,48,12.4,3.62,349.62,290.83,1/2/2014,31/12/2017
10270-1,Creator Expert,Modular Buildings Collection,2020,Bookshop,5,2504,169.99,199.99,249.99,199.99,5.70202E+12,,57.8,37.3,10.2,2.946,152.8,143.18,1/1/2020,31/12/2023
10212-1,Star Wars,Ultimate Collector Series,2010,Imperial Shuttle,5,2503,245.99,259.99,309.99,,,6.73419E+11,58.2,48,9.1,,960.45,676.23,1/9/2010,31/12/2012
42098-1,Technic,,2019,Car Transporter,,2493,139.99,179.99,229.99,149.99,5.70202E+12,,58.2,37.8,11.8,,186.71,140.04,1/8/2019,31/12/2020
10260-1,Creator Expert,Modular Buildings Collection,2018,Downtown Diner,6,2480,129.99,169.99,219.99,149.99,5.70202E+12,,58,37.5,9.8,,284.57,267.05,1/1/2018,31/12/2020
10243-1,Creator Expert,Modular Buildings Collection,2014,Parisian Restaurant,5,2469,142.99,159.99,189.99,149.99,5.70202E+12,,58.2,37.8,10.3,,303.34,237.5,1/1/2014,31/12/2019
10247-1,Creator Expert,Fairground Collection,2015,Ferris Wheel,10,2464,159.99,199.99,229.99,179.99,5.70202E+12,,58,47.6,8.8,,366.67,252.18,1/6/2015,31/12/2018
9287-1,Education,Town,1996,Bonus Lego Basic Town,11,2456,,,,,,,,,,,511.29,,,
2000431-1,Serious Play,,2013,Connections Kit,,2455,489.99,754.99,754.99,559.99,6.73419E+11,6.73419E+11,,,,,562.76,,,
80039-1,Monkie Kid,Season 3,2022,The Heavenly Realms,8,2433,159.99,189.99,239.99,179.99,5.70202E+12,,58.2,48,9.1,,186.41,,1/6/2022,31/12/2023
3443-1,Basic,Mosaic,2000,LEGO Mosaic,,2427,,30,,,,,,,,,,,,
42069-1,Technic,,2017,Extreme Adventure,,2382,139.99,179.99,239.99,129.99,5.70202E+12,6.73419E+11,58.2,37.8,10.3,,183.7,112.17,1/8/2017,31/12/2018
10251-1,Creator Expert,Modular Buildings Collection,2016,Brick Bank,5,2380,129.99,169.99,219.99,149.99,5.70202E+12,,58,37.5,8.2,,489.09,389.53,1/1/2016,31/12/2018
76161-1,DC Comics Super Heroes,Batman 1989,2020,1989 Batwing,3,2363,174.99,199.99,259.99,199.99,5.70202E+12,,58.2,48,12.4,,192.3,178.13,1/11/2020,31/12/2022
10237-1,The Lord of the Rings,The Two Towers,2013,Tower of Orthanc,5,2359,169.99,199.99,249.99,199.99,5.70201E+12,,48.006,58.1914,9.0932,3.18,498.06,436.5,1/7/2013,31/07/2015
10283-1,Icons,Space,2021,NASA Space Shuttle Discovery,,2354,169.99,199.99,269.99,199.99,5.70202E+12,6.73419E+11,58.2,48,9.1,,162.53,164.2,1/4/2021,31/12/2024
10185-1,Advanced models,Modular Buildings Collection,2008,Green Grocer,4,2352,99.99,149.99,219.99,,5.70201E+12,6.73419E+11,57.6,48,9.6,,1759.32,892.31,1/3/2008,31/12/2010
10274-1,Icons,Vehicles,2020,Ghostbusters ECTO-1,,2352,209.99,239.99,299.99,239.99,5.70202E+12,,58.2,37.8,11.8,,168.09,131.2,15/11/2020,31/12/2024
21337-1,Ideas,,2022,Table Football,22,2339,214.99,249.99,309.99,249.99,,,58.2,37.8,11.8,,228.33,,1/11/2022,31/12/2023
21311-1,Ideas,Licensed,2018,Voltron,,2321,159.99,179.99,229.99,179.99,5.70202E+12,,37.8,48,11.2,,331.43,235.4,1/8/2018,31/12/2019
21333-1,Ideas,Licensed,2022,Vincent van Gogh - The Starry Night,1,2316,149.99,169.99,219.99,169.99,5.70202E+12,,48,37.8,11.2,2.85,163.57,152.93,25/05/2022,31/12/2024
75308-1,Star Wars,Miscellaneous,2021,R2-D2,1,2314,209.99,239.99,299.99,239.99,5.70202E+12,6.73419E+11,37.8,58.2,10.3,,181.45,138.3,1/5/2021,31/12/2023
6268522-1,Harry Potter,Promotional,2018,Hermione Granger Mosaic,,2308,,,,,,,,,,,,,,
6268521-1,Harry Potter,Promotional,2018,Harry Potter Mosaic,,2308,,,,,,,,,,,,,,
6278335-1,The LEGO Movie 2,Promotional,2018,Emmet Lenticular Mosaic,,2308,,,,,,,,,,,,,,
6250093-1,Marvel Super Heroes,Promotional,2018,Iron Man Mosaic,,2308,,,,,,,,,,,,,,
70618-1,The LEGO Ninjago Movie,,2017,Destiny's Bounty,7,2295,109.99,159.99,199.99,169.99,5.70202E+12,6.73419E+11,58.1914,37.7952,11.811,2.707944,239.73,179.63,1/8/2017,31/07/2019
71042-1,Pirates of the Caribbean,Dead Men Tell No Tales,2017,Silent Mary,8,2294,179.99,199.99,249.99,199.99,5.70202E+12,6.73419E+11,58.1914,48.006,9.0932,2.961956,348.69,283.43,1/4/2017,31/12/2018
75810-1,Stranger Things,,2019,The Upside Down,8,2287,179.99,199.99,269.99,199.99,5.70202E+12,,58.2,48,9.1,,322.19,280.34,1/6/2019,31/12/2021
21010-1,Architecture,Architect Series,2011,Robie House,,2276,169.99,199.99,249.99,,5.70201E+12,,48,28.2,7.4,,476.75,346.56,1/9/2011,31/12/2013
10246-1,Creator Expert,Modular Buildings Collection,2015,Detective's Office,6,2262,142.99,159.99,199.99,149.99,5.70202E+12,,58.2,37.8,10.3,,386.33,316.31,1/1/2015,31/12/2018
45809-1,Education,FIRST LEGO League Challenge,2019,City Shaper Challenge Kit,1,2238,,,,,,,,,,,317.51,179.06,,
10197-1,Advanced models,Modular Buildings Collection,2009,Fire Brigade,4,2231,99.99,149.99,199.99,,,6.73419E+11,58.2,48,9.1,,566.55,472.79,1/9/2009,31/12/2013
K34434-1,Basic,Mosaic,2003,Mosaic Tiger,,2217,,,,,,,,,,,299,149.99,,
10279-1,Icons,Vehicles,2021,Volkswagen T2 Camper Van,,2207,139.99,179.99,249.99,159.99,5.70202E+12,,57.8,37.4,11.2,2.945,151.93,109.71,1/8/2021,31/12/2022
10232-1,Creator Expert,Modular Buildings Collection,2013,Palace Cinema,6,2196,129.99,149.99,199.99,139.99,5.70201E+12,6.73419E+11,58.2,48,9.1,,310.1,272.76,1/3/2013,31/12/2017
42114-1,Technic,Licensed,2020,6x6 Volvo Articulated Hauler,,2193,229.99,249.99,319.99,259.99,5.70202E+12,6.73419E+11,58.2,48,12.4,3.62,192.73,162.1,1/8/2020,31/12/2021
80036-1,Monkie Kid,Season 3,2022,The City of Lanterns,9,2187,119.99,159.99,199.99,139.99,5.70202E+12,,58.2,37.8,11.8,,147.73,104.92,1/1/2022,31/12/2024
10211-1,Advanced models,Modular Buildings Collection,2010,Grand Emporium,7,2182,132.99,149.99,199.99,,,6.73419E+11,58.2,48,9.1,,454.86,330.46,1/3/2010,31/12/2014
71016-1,The Simpsons,,2015,Kwik-E-Mart,6,2179,179.99,199.99,229.99,199.99,5.70202E+12,,58.2,48,9.1,,415.5,325.44,1/5/2015,31/12/2017
9452-1,Dacta,,1991,Giant LEGO topic set,,2165,,,,,,,,,,,,,,
21325-1,Ideas,,2021,Medieval Blacksmith,4,2164,159.99,179.99,229.99,179.99,5.70202E+12,,47.8,37.4,9.8,2.416,145.18,120.15,1/2/2021,31/12/2023
45802-1,Education,FIRST LEGO League Challenge,2016,Animal Allies Challenge Kit,2,2161,,,,,,,,,,,183.15,,,
910009-1,Bricklink,2021 Designer Program,2022,Modular LEGO Store,,2149,132.99,179.99,,149.99,,,,,,,460.86,404.68,,
75098-1,Star Wars,Ultimate Collector Series,2016,Assault on Hoth,15,2144,229.99,249.99,299.99,249.99,5.70202E+12,,58.1914,48.006,9.0932,2.96,476.12,391.32,1/5/2016,31/12/2017
10225-1,Star Wars,Ultimate Collector Series,2012,R2-D2,1,2127,149.99,179.99,229.99,,5.70201E+12,6.73419E+11,37.8,58.2,10.3,,191.72,101.88,1/5/2012,31/12/2014
K34433-1,Basic,Mosaic,2003,Mosaic Johnny Thunder,,2127,,,,,,,,,,,,,,
K34431-1,Basic,Mosaic,2003,Mosaic Cat,,2127,,,,,,,,,,,,125,,
9697-1,Education,FIRST LEGO League Challenge,2011,Food Factor Challenge Kit,,2119,,,,,,,,,,,150,150,,
42129-1,Technic,Licensed,2021,4x4 Mercedes-Benz Zetros Trial Truck,,2110,284.99,329.99,439.99,329.99,5.70202E+12,,58.2,48,9.1,,215.2,160.96,1/8/2021,31/12/2021
45800-1,Education,FIRST LEGO League Challenge,2014,FLL World Class: Learning Unleashed Challenge Kit,2,2090,,,,,,,,,,,183.15,104.99,,
910003-1,Bricklink,2021 Designer Program,2022,Mountain Windmill,,2085,132.99,179.99,,149.99,,,,,,,249.41,180.52,,
21338-1,Ideas,,2023,A-Frame Cabin,,2082,159.99,179.99,239.99,179.99,,,,,,,,,,
21327-1,Ideas,,2021,Typewriter,,2079,214.99,249.99,309.99,249.99,5.70202E+12,6.73419E+11,58.2,37.8,10.3,,191.12,163.6,1/7/2021,31/12/2024
